group_index	status	reason	uuid	original_filename	filename	date	date_added	path	asset_scope	file_size_bytes	content_sha256	location	album_titles	folder_paths	keywords	favorite	hidden	description
1	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	4C6C5B1E-B0AF-4708-89C2-5CDA30A59497	IMG_4982.MOV	4C6C5B1E-B0AF-4708-89C2-5CDA30A59497.mov	2022-06-30T11:05:36+08:00	2022-06-30T11:10:05.050800+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/4/4C6C5B1E-B0AF-4708-89C2-5CDA30A59497.mov	NORMAL_ORIGINALS	3047941792	4818605864ba9bb19de41a9c734f97c594a0ac2c29a4f28763077381c2f10e60		2022年6月30日 BH 跑步機 技術 明憲 來解決新買的跑步機會發出聲音的問題。原來有一堆螺絲需要上潤滑油 WD40 然後他幫我上了一下皮帶的潤滑油，之後就是要自己付錢$1000保養。所以也教了我怎麼樣自己基本調整，要買恐龍跑步機潤滑油然後升到套袋最裡面整個從頭到尾噴一遍左右各一次！然後跑帶鬆掉要旋轉螺絲。在跑步機尾端的滾筒旁邊兩個螺絲順時針進去的話滾筒會往外往後退。兩邊的螺絲分別控制滾筒的兩邊前後。所以如果跑帶鬆掉的話兩邊都要轉進去順時鐘轉進去½圈，如果搞到一兩圈都不行的話，就需要找維修技師。如果跑帶偏ㄧ邊的話，先可以用時速10，人不要站在上面，讓跑步機自己運轉一下，看他會不會歸位。不行的話就看跑帶偏哪一邊。假設偏右邊就是轉右邊的螺絲！另外就是啟動跑步機的時候最好站在跑帶旁邊的台子上，因為時間久了可能馬達會爆衝，很危險！另外判斷是否需要潤滑，在跑完之後可以摸一下跑袋的溫度，如果比平常上升許多，那就是需要潤滑了			False	False	
2	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	AC408AAA-DD22-4340-B4B9-B9CE2D104627	IMG_0106.JPG	AC408AAA-DD22-4340-B4B9-B9CE2D104627.jpeg	2021-12-15T19:26:48.808220+08:00	2021-12-15T19:26:49.506998+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/A/AC408AAA-DD22-4340-B4B9-B9CE2D104627.jpeg	NORMAL_ORIGINALS	4442330	b28e8ea1a14d0f4c69190e1128877468b7688dc95d436c74e251056355433ef4		2021年12月15日 跟林欒菲還有林艾蓮 去她弟弟公司附近的 林艾蓮很愛吃的 七輪燒肉！吃了一個半小時就很飽，因為中間有點個鍋巴…橫膈膜不好吃因為是台灣牛，或許是這個關係，其他都很好吃！總共花了$3234！林艾蓮一個人喝啤酒就花了$360！然後還說很便宜！金錢觀價值觀差好多！ 上次一個人就要2000多塊吃不飽。這次我沒事幹嘛裝大方，這個錢都可以買一個精英頭盔電池版本。VR群組的人都捨不得買的！ 一頓飯就沒了！最雞歪的就是那個酒了！那個一小杯啤酒要$120！他媽的貴！			False	False	
3	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	619A9181-35A4-4FA0-A385-1F6A49CBDA40	IMG_2344.PNG	619A9181-35A4-4FA0-A385-1F6A49CBDA40.png	2017-09-29T21:22:02+08:00	2017-09-29T21:22:03.102223+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/6/619A9181-35A4-4FA0-A385-1F6A49CBDA40.png	NORMAL_ORIGINALS	503845	09006fe11cabf57fda6fe7f325ed25cc615fd55c7abe3b23e605aa4f33d71933					False	False	
4	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	CBD108F3-31B0-443C-BB89-6C3044786938	IMG_4980.MOV	CBD108F3-31B0-443C-BB89-6C3044786938.mov	2022-06-30T10:43:45+08:00	2022-06-30T11:02:34.295527+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/C/CBD108F3-31B0-443C-BB89-6C3044786938.mov	NORMAL_ORIGINALS	9065316678	0b2be3da44ed0e536a0219ae10b464fdd50e9f3bb5dbdf842ab5b0742705cb3c		2022年6月30日 BH 跑步機 技術 明憲 來解決新買的跑步機會發出聲音的問題。原來有一堆螺絲需要上潤滑油 WD40 然後他幫我上了一下皮帶的潤滑油，之後就是要自己付錢$1000保養。所以也教了我怎麼樣自己基本調整，要買恐龍跑步機潤滑油然後升到套袋最裡面整個從頭到尾噴一遍左右各一次！然後跑帶鬆掉要旋轉螺絲。在跑步機尾端的滾筒旁邊兩個螺絲順時針進去的話滾筒會往外往後退。兩邊的螺絲分別控制滾筒的兩邊前後。所以如果跑帶鬆掉的話兩邊都要轉進去順時鐘轉進去½圈，如果搞到一兩圈都不行的話，就需要找維修技師。如果跑帶偏ㄧ邊的話，先可以用時速10，人不要站在上面，讓跑步機自己運轉一下，看他會不會歸位。不行的話就看跑帶偏哪一邊。假設偏右邊就是轉右邊的螺絲！另外就是啟動跑步機的時候最好站在跑帶旁邊的台子上，因為時間久了可能馬達會爆衝，很危險！另外判斷是否需要潤滑，在跑完之後可以摸一下跑袋的溫度，如果比平常上升許多，那就是需要潤滑了			False	False	
5	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	B0741FE1-65FE-421D-8080-BE4CE96F85F1	IMG_0234.PNG	B0741FE1-65FE-421D-8080-BE4CE96F85F1.png	2020-11-19T00:23:16.639491+08:00	2020-11-19T00:23:16.642755+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/B/B0741FE1-65FE-421D-8080-BE4CE96F85F1.png	NORMAL_ORIGINALS	408582	9c711a04be7bac97c599c0c3cb45ad4301f0679b66fa364402277964a9fda1d4					False	False	
6	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	2FD3FF73-4C44-4665-9028-5BB8FE1F70DE	3320474716416102425.mp4	2FD3FF73-4C44-4665-9028-5BB8FE1F70DE.mp4	2020-07-15T17:39:24+08:00	2020-07-16T12:50:56.411404+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/2/2FD3FF73-4C44-4665-9028-5BB8FE1F70DE.mp4	NORMAL_ORIGINALS	18221849	4445c0547b76166bc7db3ee08a478349e4e186315a9a7aee063d579682793e33					False	False	
7	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	D0B8F1CA-BED0-4448-81BF-62E831EDBAC1	-479944577823611629.mp4	D0B8F1CA-BED0-4448-81BF-62E831EDBAC1.mp4	2021-07-29T23:28:42+08:00	2024-03-17T07:18:03.627472+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/D/D0B8F1CA-BED0-4448-81BF-62E831EDBAC1.mp4	NORMAL_ORIGINALS	40728528	51edd590b192b00542a6e15b6d7956e4b5d59138bd7aea7e9723180e52e858ef				HIDE | NSFW	False	False	
8	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	68715E39-BC14-49E5-8857-FC915AE8BAAE	IMG_4983.MOV	68715E39-BC14-49E5-8857-FC915AE8BAAE.mov	2022-06-30T11:11:08+08:00	2022-06-30T11:11:52.168589+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/6/68715E39-BC14-49E5-8857-FC915AE8BAAE.mov	NORMAL_ORIGINALS	226701950	a0adebc29ceeb6d0fe3bb681f56bdfc1532b4bacb5e7e7c42c0a9320ef324d02		2022年6月30日 BH 跑步機 技術 明憲 來解決新買的跑步機會發出聲音的問題。原來有一堆螺絲需要上潤滑油 WD40 然後他幫我上了一下皮帶的潤滑油，之後就是要自己付錢$1000保養。所以也教了我怎麼樣自己基本調整，要買恐龍跑步機潤滑油然後升到套袋最裡面整個從頭到尾噴一遍左右各一次！然後跑帶鬆掉要旋轉螺絲。在跑步機尾端的滾筒旁邊兩個螺絲順時針進去的話滾筒會往外往後退。兩邊的螺絲分別控制滾筒的兩邊前後。所以如果跑帶鬆掉的話兩邊都要轉進去順時鐘轉進去½圈，如果搞到一兩圈都不行的話，就需要找維修技師。如果跑帶偏ㄧ邊的話，先可以用時速10，人不要站在上面，讓跑步機自己運轉一下，看他會不會歸位。不行的話就看跑帶偏哪一邊。假設偏右邊就是轉右邊的螺絲！另外就是啟動跑步機的時候最好站在跑帶旁邊的台子上，因為時間久了可能馬達會爆衝，很危險！另外判斷是否需要潤滑，在跑完之後可以摸一下跑袋的溫度，如果比平常上升許多，那就是需要潤滑了			False	False	
9	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DB2B39A8-5207-457E-842D-BA96E16FB59C	PDF document-1.jpeg	DB2B39A8-5207-457E-842D-BA96E16FB59C.jpeg	2021-04-17T17:15:02.617726+08:00	2021-04-17T17:15:03.404507+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/D/DB2B39A8-5207-457E-842D-BA96E16FB59C.jpeg	NORMAL_ORIGINALS	3898033	bd46bd338deed3201ccaef428b17ea88c5535978b654a76ea1c25a7a766cb3de		2021年4月17日，小乖說我有病，買了3000兩百多的漁夫鮮撈... $3000免運費打九二折省兩百多！結果他媽的收到訂購失敗通知。浪費了我一個小時的時間！我就寫Line過去罵人…看看他們怎麼處理！			False	False	
10	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	38FD5C2F-9B8C-479D-B628-F60DDC92374F	IMG_0361.mp4	38FD5C2F-9B8C-479D-B628-F60DDC92374F.mp4	2020-07-27T00:37:58+08:00	2021-06-11T08:48:04.500060+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/3/38FD5C2F-9B8C-479D-B628-F60DDC92374F.mp4	NORMAL_ORIGINALS	413958	0f7496c0b624acb5277e84ff8d98cbe993f921534772ecd8543b376bb2ad803a					False	False	
