uuid	original_filename	filename	date	date_added	asset_scope	path	file_size_bytes	missing_reason	has_location	location	latitude	longitude	raw_location	place	is_live_photo	path_live_photo	live_photo_marker	description	keywords	favorite	hidden	album_titles	folder_paths
20F72997-6EDA-46CD-8184-3A37FF75AE48	IMG_9083.jpeg	20F72997-6EDA-46CD-8184-3A37FF75AE48.jpeg	2023-07-13T14:55:01.389000+08:00	2023-07-13T14:55:01.389000+08:00	PATH_NONE			missing file_size_bytes	True	25.021538833333334,121.53241166666666	25.021538833333334	121.53241166666666	25.021538833333334 | 121.53241166666666	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106020"", ""state_province"": ""TPE"", ""street"": ""No. 13 Wenzhou St Ln 48"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 13 Wenzhou St Ln 48, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 13 Wenzhou St Ln 48""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False		
845D8C7D-8375-450E-9051-60A00898955C	IMG_5984.jpeg	845D8C7D-8375-450E-9051-60A00898955C.jpeg	2025-01-21T18:51:03.974000+08:00	2025-01-21T18:51:03.974000+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
01CBADB7-DB4D-4B4E-8388-A8570F8F2135	IMG_2392.jpeg	01CBADB7-DB4D-4B4E-8388-A8570F8F2135.jpeg	2025-01-21T15:09:50.792311+08:00	2025-01-21T15:09:50.792311+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
DA2C3A3A-6B1B-458E-B09D-4DE46DB0CB95	IMG_6375.jpeg	DA2C3A3A-6B1B-458E-B09D-4DE46DB0CB95.jpeg	2023-04-12T19:10:20.706000+08:00	2023-04-12T19:10:20.706000+08:00	PATH_NONE			missing file_size_bytes	True	25.0190195,121.53	25.0190195	121.53	25.0190195 | 121.53	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106019"", ""state_province"": ""TPE"", ""street"": ""No. 219–267 Roosevelt Rd Sec 3"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 219–267 Roosevelt Rd Sec 3, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 219–267 Roosevelt Rd Sec 3""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False		
3F72A7D2-4A62-4647-BE91-1DFFF759BD41	IMG_2037.JPG	3F72A7D2-4A62-4647-BE91-1DFFF759BD41.jpeg	2021-02-05T18:03:00.979633+08:00	2021-02-05T18:03:00.979633+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
CC294F71-8164-403B-B359-836E410DF496	IMG_0344.jpg	CC294F71-8164-403B-B359-836E410DF496.jpeg	2024-08-19T18:11:38.499480+08:00	2024-08-19T18:11:38.499480+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
37D8EDD4-718B-4A24-9CF2-3D460CC14CBC	IMG_2723.JPG	37D8EDD4-718B-4A24-9CF2-3D460CC14CBC.jpeg	2016-03-19T16:47:26.352000+09:00	2016-03-19T15:47:26.352000+08:00	PATH_NONE			missing file_size_bytes	True	35.72342166666667,139.709655	35.72342166666667	139.709655	35.72342166666667 | 139.709655	"{""address"": {""city"": ""Toshima"", ""country"": ""Japan"", ""iso_country_code"": ""JP"", ""postal_code"": ""171-0031"", ""state_province"": ""Tokyo"", ""street"": ""23-13, Mejiro 2-Chōme"", ""sub_administrative_area"": null, ""sub_locality"": ""Mejiro""}, ""address_str"": ""23-13, Mejiro 2-Chōme, Toshima, Tokyo, Japan 171-0031"", ""country_code"": ""JP"", ""ishome"": false, ""name"": ""Toshima, Tokyo, Japan"", ""names"": {""additional_city_info"": [""Mejiro""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Toshima""], ""country"": [""Japan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [""Tokyo"", ""Kanto""], ""street_address"": [""23-13, Mejiro 2-Chōme""], ""sub_administrative_area"": [], ""sub_throughfare"": []}}"	False		False			False	False		
D02B7EE5-87E8-4C2E-B7EF-83BC3A9720B1	IMG_3794.jpeg	D02B7EE5-87E8-4C2E-B7EF-83BC3A9720B1.jpeg	2024-01-02T19:59:55.319000+08:00	2024-01-02T19:59:55.319000+08:00	PATH_NONE			missing file_size_bytes	True	25.021527833333334,121.532425	25.021527833333334	121.532425	25.021527833333334 | 121.532425	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106020"", ""state_province"": ""TPE"", ""street"": ""No. 13 Wenzhou St Ln 48"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 13 Wenzhou St Ln 48, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 13 Wenzhou St Ln 48""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False		
88E8371A-DFCA-4113-8CC7-50A494AB7D2E	IMG_4087.jpg	88E8371A-DFCA-4113-8CC7-50A494AB7D2E.jpeg	2024-11-27T07:20:59.626926+08:00	2024-11-27T07:20:59.626926+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
25350D3F-8527-4F31-9DEC-B0422519B9DF	IMG_1343.JPG	25350D3F-8527-4F31-9DEC-B0422519B9DF.jpeg	2024-07-27T08:06:54.619571+08:00	2024-07-27T08:06:54.619571+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
72539F07-6B88-4FBC-9822-70A9908876DA	IMG_7414.jpeg	72539F07-6B88-4FBC-9822-70A9908876DA.jpeg	2026-02-04T18:28:06.088000+08:00	2026-02-04T18:28:06.088000+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
2E53DF99-1D66-4B60-AF82-382165581532	IMG_1334.jpeg	2E53DF99-1D66-4B60-AF82-382165581532.jpeg	2011-11-20T14:50:36+08:00	2011-11-20T14:50:36+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
409C7D86-70CE-4CB5-BF9F-400FF703F14A	IMG_5986.jpeg	409C7D86-70CE-4CB5-BF9F-400FF703F14A.jpeg	2025-01-21T18:56:56.374000+08:00	2025-01-21T18:56:56.374000+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
FAAB1076-E063-4CAA-8769-13325E77DB56	IMG_5839.jpeg	FAAB1076-E063-4CAA-8769-13325E77DB56.jpeg	2021-10-23T09:14:02.895000+08:00	2021-10-23T09:14:02.895000+08:00	PATH_NONE			missing file_size_bytes	True	25.021502833333333,121.53246333333334	25.021502833333333	121.53246333333334	25.021502833333333 | 121.53246333333334	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106020"", ""state_province"": ""TPE"", ""street"": ""No. 13 Wenzhou St Ln 48"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 13 Wenzhou St Ln 48, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 13 Wenzhou St Ln 48""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False		
7E39EC15-D9D7-43A7-A9BD-8E9A4552A4D6	IMG_7499.JPG	7E39EC15-D9D7-43A7-A9BD-8E9A4552A4D6.jpeg	2023-05-29T10:41:20.992000+08:00	2023-05-29T10:41:20.992000+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
BDAF0B86-59BB-4ABE-8FA1-3AA5E4834C59	IMG_9375.heic	BDAF0B86-59BB-4ABE-8FA1-3AA5E4834C59.heic	2024-07-22T21:27:34.701000+08:00	2024-07-22T21:27:34.701000+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
73B8C09C-6F12-4A25-9616-342376038717	IMG_1323.JPG	73B8C09C-6F12-4A25-9616-342376038717.jpeg	2011-11-20T14:57:54+08:00	2011-11-20T14:57:54+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
F569B365-4E44-40C6-93E1-2300A747D9D7	IMG_7415.jpeg	F569B365-4E44-40C6-93E1-2300A747D9D7.jpeg	2026-02-04T18:28:10.566000+08:00	2026-02-04T18:28:10.566000+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
8B4DF2A1-6631-433B-8D95-DDFDDBABA65A	IMG_7244.jpeg	8B4DF2A1-6631-433B-8D95-DDFDDBABA65A.jpeg	2026-01-18T15:29:52.526000+08:00	2026-01-18T15:29:52.526000+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
A93AF3CF-E85D-4B2C-AA6E-0CEA0370FCE6	IMG_3099.jpeg	A93AF3CF-E85D-4B2C-AA6E-0CEA0370FCE6.jpeg	2025-01-21T15:10:07.770354+08:00	2025-01-21T15:10:07.770354+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
9802B9B3-A3C9-4C6F-895C-00B4616A4EC1	IMG_5985.jpeg	9802B9B3-A3C9-4C6F-895C-00B4616A4EC1.jpeg	2025-01-21T18:55:46.232000+08:00	2025-01-21T18:55:46.232000+08:00	PATH_NONE			missing file_size_bytes	True	(None, None)			None | None		False		False			False	False		
FD6DA6F5-8401-4407-9CBF-FE5CDADEB714	IMG_2024.JPG	FD6DA6F5-8401-4407-9CBF-FE5CDADEB714.jpeg	2012-02-05T11:40:18+08:00	2012-02-05T11:40:18+08:00	PATH_NONE			missing file_size_bytes	True	25.226166666666668,121.5305	25.226166666666668	121.5305	25.226166666666668 | 121.5305	"{""address"": {""city"": ""Sanzhi District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""252005"", ""state_province"": ""NWT"", ""street"": null, ""sub_administrative_area"": ""New Taipei City"", ""sub_locality"": ""Yuanshan Village""}, ""address_str"": ""Sanzhi District, New Taipei City 252005, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Sanzhi District, Taiwan"", ""names"": {""additional_city_info"": [""Yuanshan Village""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Sanzhi District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [""252005""], ""region"": [], ""state_province"": [], ""street_address"": [], ""sub_administrative_area"": [""New Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False		
